538,1096,1904,2825,3580,3874,3580,2825,1904,1096,538
1096,2230,3874,5749,7285,7884,7285,5749,3874,2230,1096
1904,3874,6732,9990,12660,13700,12660,9990,6732,3874,1904
2825,5749,9990,14825,18787,20330,18787,14825,9990,5749,2825
3580,7285,12660,18787,23807,25762,23807,18787,12660,7285,3580
3874,7884,13700,20330,25762,27878,25762,20330,13700,7884,3874
3580,7285,12660,18787,23807,25762,23807,18787,12660,7285,3580
2825,5749,9990,14825,18787,20330,18787,14825,9990,5749,2825
1904,3874,6732,9990,12660,13700,12660,9990,6732,3874,1904
1096,2230,3874,5749,7285,7884,7285,5749,3874,2230,1096
538,1096,1904,2825,3580,3874,3580,2825,1904,1096,538
